property_title,property_name,property_region,price_ttl,price_sqm,bedrooms,livingrooms,building_area,directions1,directions2,decoration,hml,building_height,building_year,building_style,followers,pub_days,near_subway,two_year,taxfree,haskey,vr,price_date,building_age
临地铁 证满两年 毛坯四房两卫 配套丰富 交通便利,平江壹号,阳逻,55,3697,4,2,148.77,南,,毛坯,中,23,NA,板楼,9,2个月,1,0,1,1,VR看装修,2024-01-31,NA
花园洋房离东门近，采光好 公摊仅9% 自住装修拎包入住,福星惠誉水岸星城B区,沙湖,380,28671,3,2,132.54,南,北,精装,中,6,NA,板楼,26,2个月,0,0,1,1,VR看装修,2024-01-31,NA
老证，户型方正楼层好，地段生活便捷，诚意出售。,美联奥林匹克花园六期,常青花园,148,15003,3,2,98.65,南,东,简装,中,26,NA,板楼,3,2个月,1,1,0,1,VR看装修,2024-01-31,NA
店长推荐 好的户型 平层 二排 南北通透 满五唯一,新绿美地,杨园,176,13205,3,2,133.29,南,北,精装,高,12,NA,板楼,5,2个月,0,0,1,1,VR看装修,2024-01-31,NA
民主路 地铁口 舒适2房 采光通透 集中供暖,中南电力设计院第二生活区北苑,中南丁字桥,95,12233,2,1,77.66,东南,南,简装,低,8,NA,板楼,7,2个月,1,0,1,1,VR看装修,2024-01-31,NA
毛坯 毛坯 毛坯 居家婚房看过来 点亮你的设计细胞！！,安顺家园,楚河汉街,320,24162,3,2,132.44,南,北,简装,中,28,NA,塔楼,3,3个月,1,0,1,1,VR看装修,2024-01-31,NA
新嘉园电梯房 中间楼层视野开阔,新嘉园,华科大,117,10986,3,1,106.5,南,,简装,中,12,NA,板楼,3,2个月,1,0,1,1,NA,2024-01-31,NA
恒大老证自住精装大三房，高楼层视野好物业好,恒大翡翠华庭,四新,175,14622,3,2,119.69,南,北,精装,中,32,NA,板塔结合,7,3个月,0,1,0,1,NA,2024-01-31,NA
满二 东原二期地铁口 好楼层 不临街 房东诚心卖,东原启城二期,白沙洲,165,16776,3,2,98.36,南,,精装,高,30,NA,板楼,52,2个月,1,1,0,1,NA,2024-01-31,NA
文化路地铁口世纪广场齐心今城一期,齐心今城,纸坊,99.99,7714,3,1,129.63,南,北,精装,中,11,NA,板楼,2,2个月,0,0,1,1,NA,2024-01-31,NA
正12号线地铁口 边户 精装修 老证税费便宜 全新未住过,华发未来荟,四新,169,16001,3,2,105.62,南,北,精装,中,46,NA,板塔结合,4,2个月,0,1,0,1,VR看装修,2024-01-31,NA
双地铁口 白沙天街旁 临三甲医院 金域天下精装三房,佳兆业金域天下一期,白沙洲,128,14291,3,2,89.57,南,北,精装,低,34,NA,塔楼,1,2个月,1,0,1,1,VR看装修,2024-01-31,NA
保利上城 地铁口 新装修设计好 边户小三房 满二中层,保利上城东区,白沙洲,125,14764,3,2,84.67,南,北,精装,中,40,NA,板塔结合,8,2个月,1,1,0,1,VR看装修,2024-01-31,NA
满二四房 南北通透边户 居家装修,碧桂园生态城左岸,光谷东,130,11895,4,2,109.29,南,北,精装,中,32,NA,板楼,8,2个月,0,1,0,1,VR看装修,2024-01-31,NA
老证 边户带花园 车库 车位 一线湖景,盘龙水岸沁园,盘龙城,202,9581,5,2,210.85,东南,,毛坯,低,5,NA,板楼,2,2个月,1,0,1,1,NA,2024-01-31,NA
森林公园旁新恒大精装修大三房，业主急售,新世界恒大华府,华科大,256,20122,3,2,127.23,西南,,精装,中,28,NA,板塔结合,6,2个月,0,1,0,1,VR看装修,2024-01-31,NA
小区中间楼栋，业主置换上海急售，全新未入住奥山府,光谷澎湃城奥山府,光谷南,200,14243,3,1,140.42,南,,精装,高,33,NA,板楼,6,2个月,0,1,0,1,NA,2024-01-31,NA
满两年，精装修 户型方正 采光视野好 交通便利,琨瑜府一期,关山大道,298,25289,3,2,117.84,南,北,精装,高,55,NA,板塔结合,2,2个月,1,1,0,1,VR看装修,2024-01-31,NA
华科大2号线旁 全新装修四房 拎包入住业主诚心卖,学府佳园,华科大,230,16904,4,2,136.07,南,,精装,中,7,NA,板楼,8,2个月,1,0,1,1,VR看装修,2024-01-31,NA
万博玖珑湾 3室2厅 南,万博玖珑湾,盘龙城,85,6310,3,2,134.71,南,,毛坯,中,11,NA,板楼,2,2个月,0,1,0,1,VR看装修,2024-01-31,NA
无贷款，中间楼层，小区中间位置，诚心出售,水晶郦都,金融港,121,12542,3,2,96.48,南,,精装,中,22,NA,板楼,4,2个月,1,0,1,1,VR看装修,2024-01-31,NA
《贝壳优选》万科城 精装三房 老证 采光好 老证诚心卖,万科城,常青路,182,21849,3,2,83.3,南,北,精装,中,30,NA,板楼,6,2个月,0,0,1,1,NA,2024-01-31,NA
精装万科通透三房，业主诚意出售本房，看房方便,万科汉阳国际C区,王家湾,165,13966,3,2,118.15,南,,精装,中,34,NA,板楼,3,2个月,1,1,0,1,VR看装修,2024-01-31,NA
D铁口三房，证满无贷，业主诚心出售,珩生领袖城,盘龙城,63,6161,3,1,102.26,南,,简装,高,15,NA,板楼,5,2个月,1,1,0,1,NA,2024-01-31,NA
开发商精装带地暖 老证税少 高区景观 全明大两房急售,阳光城十里新城,王家湾,143,15777,2,2,90.64,南,,精装,高,32,NA,板塔结合,8,2个月,1,1,0,1,VR看装修,2024-01-31,NA
店长推荐 金桥汇二期双地铁 精装修中间楼层 采光好,百步亭金桥汇2期,塔子湖,108,14957,2,1,72.21,南,,精装,高,33,NA,板塔结合,17,2个月,1,1,0,1,NA,2024-01-31,NA
店长推荐 三阳台 自住装修三房 老证 一手房东 急售,中城时代二期,盘龙城,75,8895,3,2,84.32,南,,精装,中,6,NA,板楼,1,2个月,0,1,0,1,VR看装修,2024-01-31,NA
5号地铁 清江锦城 自住装修 三居室拎包入住 视野好,清能清江锦城一期,白沙洲,129,14411,3,2,89.52,东南,,精装,高,34,NA,塔楼,1,2个月,1,0,1,1,VR看装修,2024-01-31,NA
嘉禾园经典三房户型 视野阳光好 诚心出售,嘉禾园,吴家山,95,7229,3,2,131.43,南,北,简装,低,6,NA,板塔结合,0,2个月,1,0,1,1,NA,2024-01-31,NA
房东诚心出售，单价便宜的电梯房。,拜赞庭,中南丁字桥,78,15277,1,1,51.06,东北,,精装,低,12,NA,塔楼,5,2个月,0,0,1,1,VR看装修,2024-01-31,NA
地铁口，62栋一线湖景视野宽阔，楼层好，业主移民急售,福星惠誉东澜岸,白沙洲,84,10254,2,1,81.92,南,,精装,30层,NA,NA,塔楼,2,2个月,0,0,1,1,VR看装修,2024-01-31,NA
兰亭都荟后 江腾苑D区 婚房装修三居室 非顶楼采光好,江腾苑D区,钟家村,136,11742,3,2,115.83,南,北,精装,高,27,NA,板楼,9,2个月,0,1,0,1,VR看装修,2024-01-31,NA
新出 梅苑小区地铁口 两房 满五年 中间楼层 急售,梅苑小区一期,武昌火车站,113,15467,2,1,73.06,西北,,精装,中,8,NA,塔楼,7,2个月,1,0,1,1,VR看装修,2024-01-31,NA
蓝光中间楼栋楼层，精装三房户型，产证满2年无贷款,蓝光COCO时代,华科大,128,14991,3,2,85.39,南,北,精装,低,30,NA,板楼,4,2个月,0,1,0,1,NA,2024-01-31,NA
两梯三户高楼层采光好满五年税费少,加州香山美树,民族大道,110,12778,2,2,86.09,南,,简装,中,17,NA,板楼,2,2个月,0,0,1,1,VR看装修,2024-01-31,NA
楼层好出门即享受空中花园 老证无贷 随时签约,新世界常青二分之一中心,常青花园,198,19620,3,2,100.92,南,北,简装,低,28,NA,板塔结合,2,2个月,1,0,1,1,VR看装修,2024-01-31,NA
老证，精装三房，采光通风好，保养好，配套齐,枫桦苇岸,沌口,92,7978,3,1,115.32,南,北,精装,低,33,NA,板楼,1,2个月,0,0,1,1,NA,2024-01-31,NA
古田桥旁 汉江边，人车分流新小区，首付不到20万！,佳兆业滨江壹号,王家湾,86,9428,3,2,91.22,南,,毛坯,中,47,NA,板楼,11,2个月,0,1,0,1,NA,2024-01-31,NA
店长推荐 11号线旁光明上海FD 精装2室南北通透 高区,光明上海府邸,四新,116,12347,2,2,93.95,南,北,精装,高,33,NA,板塔结合,3,2个月,0,1,0,1,NA,2024-01-31,NA
【价格真低】汉正街2室1厅，朝东 阳光房 精装入住,多福大厦,汉正街,77.5,12422,2,1,62.39,东,,精装,高,27,NA,塔楼,4,2个月,1,1,0,1,NA,2024-01-31,NA
全新装修 湖景大平层 7号线地铁口，好楼层 老证无贷,盘龙水岸沁园,盘龙城,132,8727,4,1,151.27,南,,精装,中,5,NA,板楼,7,2个月,1,1,0,1,VR看装修,2024-01-31,NA
一天没住 精装三房 满两年 户型方正,中建大公馆二期,民族大道,220,22846,3,2,96.3,南,,精装,高,48,NA,板塔结合,6,2个月,0,1,0,1,VR看装修,2024-01-31,NA
店长推荐 急卖好房 汉口花园六期 电梯小高层 钻石楼层,汉口花园幽兰居,塔子湖,130,14310,2,2,90.85,南,北,精装,高,11,NA,板楼,14,2个月,0,1,0,1,NA,2024-01-31,NA
金银湖一号证满无贷款，2018年花了38万精装的全屋定制,金银湖1号院,金银湖,155,11099,3,1,139.66,南,,精装,中,34,NA,板楼,15,2个月,0,1,0,1,NA,2024-01-31,NA
武昌滨江融侨二期满二南北向次新小区，居住环境舒适,融侨城,杨园,260,21880,3,2,118.83,南,,精装,低,48,NA,板塔结合,2,2个月,1,1,0,0,NA,2024-01-31,NA
汉阳大道沿线 内环品质洋房 好停车 低成本,琴台颖园,钟家村,140,11688,3,2,119.79,南,北,简装,中,7,NA,板楼,5,2个月,1,0,1,0,NA,2024-01-31,NA
贝壳聚焦+优质好房，11小区三房，价格便宜，满五,常青花园十一小区,常青花园,205,16195,3,2,126.59,南,北,精装,低,30,NA,板楼,3,2个月,1,0,1,1,VR看装修,2024-01-31,NA
铁路局电梯房 正规三房 采光好 格局方正 有暖气,武铁洪山住宅小区,中南丁字桥,198,14584,3,2,135.77,南,北,简装,低,16,NA,塔楼,2,2个月,1,0,1,1,VR看装修,2024-01-31,NA
领秀城 大户型中间楼层中间楼栋 精装修 诚心卖,领秀城,卓刀泉,350,22393,4,2,156.3,南,北,精装,中,32,NA,板楼,4,2个月,1,0,1,1,NA,2024-01-31,NA
《店长甄选》九里三开间朝南户型，精装修，满五唯一,保利公园九里,老南湖,152,16768,3,2,90.65,南,北,精装,中,34,NA,板楼,13,2个月,1,0,1,0,VR看装修,2024-01-31,NA
复地三期，通透大五房，高层看东湖和沙湖，百万装修,复地东湖国际三期,中北路,699,49975,5,2,139.87,南,北,精装,中,45,NA,板塔结合,5,2个月,1,0,1,0,NA,2024-01-31,NA
武汉关，朝南精装两房，阳光好，老证税费少，诚意出售,世纪江尚,前进江汉,228,25127,2,1,90.74,南,,精装,57层,NA,NA,塔楼,5,2个月,1,1,0,0,NA,2024-01-31,NA
城市之光精装洋房 公摊8% 满五唯一 黄龙山地铁站旁,城市之光,光谷东,148,14930,3,2,99.13,南,北,精装,低,6,NA,板楼,8,2个月,1,0,1,1,NA,2024-01-31,NA
老证，户型方正，明厨明卫，顶楼复式，带露台,常青花园十号小区,常青花园,179,10294,5,2,173.9,南,,简装,高,7,NA,板楼,3,3个月,1,0,1,1,NA,2024-01-31,NA
金融港北地铁口大两房带衣帽间 三开间朝南 满五 诚售,当代国际花园铂公馆,金融港,170,17546,2,2,96.89,南,,精装,低,32,NA,板楼,1,2个月,0,0,1,1,VR看装修,2024-01-31,NA
地铁口 次新小区 老证精装 通透户型 业主诚心出售,汇悦天地一二期,塔子湖,118,13208,3,1,89.34,南,北,精装,低,34,NA,板楼,6,2个月,1,1,0,1,NA,2024-01-31,NA
怡康苑南区 3室2厅 南 北,怡康苑南区,百步亭,206,12979,3,2,158.73,南,北,其他,低,11,NA,板楼,2,2个月,0,0,1,1,NA,2024-01-31,NA
急售满二毛坯三房，万科物业，不临街,广信万汇城,庙山,89,9174,3,1,97.02,南,,毛坯,低,26,NA,板塔结合,3,2个月,0,1,0,1,NA,2024-01-31,NA
好楼层 户型好 户型通透 可随时看房,鲁巷教师小区,光谷广场,120,11662,3,2,102.9,南,,其他,中,7,NA,板楼,11,2个月,1,0,1,1,VR看装修,2024-01-31,NA
产证满两年，交税少。房子中高楼层三个阳台，全屋暖气,百步龙庭,百步亭,230,16641,3,2,138.22,南,北,精装,中,18,NA,板楼,2,2个月,1,1,0,1,NA,2024-01-31,NA
居家三房 总价低 配套完善,翡翠城,卓刀泉,152,11595,3,2,131.1,南,,简装,中,30,NA,塔楼,10,2个月,1,1,0,1,NA,2024-01-31,NA
金地格林小城美茵一梯两户，大落地窗，采光视野好。,金地格林小城美茵区,新南湖,269,20884,3,2,128.81,南,北,精装,中,11,NA,板楼,9,2个月,0,0,1,1,VR看装修,2024-01-31,NA
复地三期自住精装房，东边户急卖。拎包入住随时看房,复地东湖国际三期,中北路,670,47902,5,2,139.87,南,北,精装,高,45,NA,板塔结合,15,2个月,1,0,1,1,VR看装修,2024-01-31,NA
花山郡二期 三房两卫 中高楼层 价格可谈 湖景房,联投花山郡二期,光谷东,115,9789,3,2,117.48,西南,,其他,高,34,NA,板楼,4,3个月,0,1,0,1,VR看装修,2024-01-31,NA
世纪江尚 精装四居室 通透户型 采光好 公摊小,世纪江尚,前进江汉,435,23454,4,1,185.47,东,西,精装,低,57,NA,塔楼,107,NA,1,1,0,1,VR看装修,2024-01-31,NA
地铁口！好楼层！！采光好！！！视野佳！！！！,世纪家园,后湖,168,10359,5,2,162.19,南,,简装,中,6,NA,板楼,8,5个月,0,0,1,1,NA,2024-01-31,NA
双地铁口 毛坯顶楼复式 户型好 视野开阔 诚心出售,歌林花园,盘龙城,100,7375,6,2,135.6,南,北,毛坯,高,18,NA,板楼,11,NA,1,0,1,1,NA,2024-01-31,NA
边户三阳台大三房 满五唯一,现代森林小镇,金融港,266,19163,3,2,138.81,南,北,毛坯,中,11,NA,板楼,4,3个月,1,0,1,1,NA,2024-01-31,NA
华科大 复式楼 清水毛坯 带前后院子 采光好 随时看房,新世界恒大华府,华科大,249,18654,6,2,133.49,南,北,毛坯,低,8,NA,板楼,25,4个月,0,0,1,1,NA,2024-01-31,NA
独栋别墅，花园216平上证的，满二，精装，露台能看湖,汤逊湖山庄,庙山,345,12478,5,3,276.5,南,北,精装,低,3,NA,暂无数据,40,NA,0,0,1,1,NA,2024-01-31,NA
诚心出售，视野开阔，无遮挡看湖，双地铁，老证,王家湾中央生活区,王家湾,135,14462,3,2,93.35,南,,毛坯,高,30,NA,板楼,1,3个月,1,1,0,1,VR看装修,2024-01-31,NA
双阳台 户型通透 毛坯随意好 随时看房,汉口湖畔,盘龙城,90,7877,3,2,114.27,西北,,毛坯,中,15,NA,板楼,2,2个月,1,0,1,1,VR看装修,2024-01-31,NA
店长推荐A级房源，老证，拎包入住，双阳台，朝南两房,福星城南区,长港路,117,13401,2,2,87.31,南,,精装,45层,NA,NA,板塔结合,4,2个月,1,1,0,1,VR看装修,2024-01-31,NA
满二 湖景房 视野无遮挡 边户采光好 价格可谈 随时看,保利海上五月花一期,庙山,77,9246,3,2,83.28,南,北,毛坯,中,18,NA,板塔结合,3,3个月,0,0,1,1,VR看装修,2024-01-31,NA
【优选】一线湖景 急售 【店长推荐】精装 两卫,加州橘郡,庙山,102,9277,3,2,109.95,南,北,精装,中,30,NA,板楼,0,2个月,0,1,0,1,NA,2024-01-31,NA
东方雨林，次新小区，业主置换诚心出售。,东方雨林,庙山,80,8819,3,2,90.72,南,,精装,中,32,NA,板楼,4,2个月,0,1,0,1,VR看装修,2024-01-31,NA
2号线地铁口 中间楼层 中间位置 满两年 户口不在,平安光谷春天,金融港,132,15570,3,2,84.78,南,,精装,中,33,NA,板楼,1,2个月,1,1,0,1,VR看装修,2024-01-31,NA
南国二期毛坯 非顶楼高层 南北户型三房 采光好 视野佳,南国明珠二期,王家湾,165,15739,3,2,104.84,南,北,毛坯,高,11,NA,板楼,5,3个月,1,0,1,1,VR看装修,2024-01-31,NA
二环内，好楼层，有电梯，满五，CBD 地铁三号线在..,航天花园,CBD西北湖,230,16151,3,2,142.41,南,,精装,中,7,NA,板楼,6,2个月,0,0,1,1,NA,2024-01-31,NA
近地铁口 青宜居中装两房 诚意出售,青宜居二期,青山,59,8948,2,1,65.94,南,,精装,低,18,NA,塔楼,3,2个月,1,0,1,1,NA,2024-01-31,NA
钟家村正商圈，通透户型，诚心出售,远洋东方镜世界观2号地,钟家村,225,18746,3,2,120.03,南,,精装,中,56,NA,板楼,1,3个月,1,1,0,1,VR看装修,2024-01-31,NA
绿城兰园三房两卫，东边户视野好，满两年，随时可看,长投绿城兰园,藏龙岛,109,9814,3,2,111.07,南,,毛坯,高,25,NA,板楼,2,2个月,0,1,0,1,VR看装修,2024-01-31,NA
老证税费少，精装修拎包入住，楼层好视野开阔,裕亚银湖城二期,金银湖,138,13322,3,2,103.59,南,,精装,高,29,NA,板塔结合,6,2个月,1,1,0,1,VR看装修,2024-01-31,NA
保利时代南向三房 满2年 高楼层 采光好 业主急售,保利时代北区,民族大道,207,22187,3,2,93.3,南,,简装,高,34,NA,板塔结合,5,3个月,0,0,1,1,VR看装修,2024-01-31,NA
业主急售，南北通透户型，老证，采光好，可随意装修,博学华府,沌口,100,8768,3,2,114.06,南,北,毛坯,高,27,NA,板楼,2,2个月,1,0,1,1,NA,2024-01-31,NA
四季永兴 南北通透 户型方正 产证满两年 房东诚心卖,四季永兴,王家湾,68,5990,3,2,113.53,南,北,毛坯,低,33,NA,暂无数据,6,3个月,0,1,0,1,VR看装修,2024-01-31,NA
电梯房，好楼层，采光好，户型好，老证税费少,银湖水榭,金银湖,115,9730,3,2,118.2,南,北,精装,高,6,NA,板楼,6,2个月,0,0,1,1,NA,2024-01-31,NA
汤逊湖旁，联投开发，满五唯一税费少，清水毛坯,联投龙湾一期,文化大道,100,8385,3,2,119.27,南,,毛坯,中,11,NA,板楼,3,2个月,0,0,1,1,VR看装修,2024-01-31,NA
地铁口 奥莱旁 一线湖景大三房 南北双阳台诚心急售,汉口湖畔,盘龙城,98,7938,3,2,123.46,南,,精装,高,18,NA,板楼,7,2个月,1,0,1,1,VR看装修,2024-01-31,NA
中间楼层，小两室 总价低 价格还可以谈,青宜居一期,青山,55,9090,2,1,60.51,南,,简装,高,18,NA,塔楼,1,2个月,1,1,0,1,NA,2024-01-31,NA
此房满五唯一，中高楼层，精装修拎包入住。。。,沿海翡丽公馆,金银湖,88,9288,3,2,94.75,东南,,精装,高,34,NA,板楼,1,2个月,0,0,1,1,VR看装修,2024-01-31,NA
洪外旁鹿鸣苑 南北通透小3房 楼层好,鹿鸣苑,卓刀泉,148,15517,3,2,95.38,南,北,精装,高,26,NA,板塔结合,2,3个月,0,0,1,1,VR看装修,2024-01-31,NA
中信一期南北通透大三房老证中间楼层长春街七一在楼下,中信泰富滨江金融城九悦,二七,480,38952,3,2,123.23,南,北,毛坯,中,30,NA,板楼,8,2个月,0,1,0,1,VR看装修,2024-01-31,NA
恒温小区 中高楼层 视野无遮挡，南北边户,长航蓝晶绿洲一二期,徐东,154.9,15867,3,2,97.63,南,北,精装,高,26,NA,板楼,71,3个月,0,1,0,1,VR看装修,2024-01-31,NA
双地铁 14年次新小区 2梯4户小区中间的小户型,南湖名都B区,南湖沃尔玛,72,14326,1,1,50.26,南,,简装,高,18,NA,塔楼,13,2个月,1,0,1,1,NA,2024-01-31,NA
汉口内环，房东急售，正规两室房 老证，复式楼,安顺佳园,汉正街,78,12215,2,1,63.86,南,,其他,低,30,NA,塔楼,2,2个月,1,1,0,1,NA,2024-01-31,NA
阳光100，四期大三房，双阳台，产证两年，诚心卖,阳光100大湖第,藏龙岛,106,8244,3,2,128.58,南,,精装,低,26,NA,板楼,2,2个月,0,1,0,1,VR看装修,2024-01-31,NA
白沙洲三环内精装三房户型方正满二诚心出售,湘龙鑫城,白沙洲,96,9749,3,2,98.48,南,,精装,中,18,NA,板楼,2,2个月,0,1,0,1,VR看装修,2024-01-31,NA
中高楼层 小区中间 安静 拎包入住 保养好,万科汉阳国际B区,王家湾,105,13476,2,2,77.92,南,,其他,高,34,NA,板楼,2,2个月,1,0,1,1,NA,2024-01-31,NA
保利心语一期 视野好 产证满5年 业主二次装修全房暖气,保利心语一期,珞狮南路,218,14647,4,2,148.84,南,,精装,低,24,NA,板楼,3,3个月,1,0,1,0,VR看装修,2024-01-31,NA
金地广场旁 满两年 双地铁 南北向边户大三居 户型方正,东方玉龙居,青山,140,10398,3,2,134.65,东南,,精装,中,23,NA,板楼,1,3个月,1,1,0,1,VR看装修,2024-01-31,NA
老证满五，精装40万，边户南北朝向，中层，采光视野好,中铁世纪金桥,四新,130,13390,3,2,97.09,南,,精装,中,33,NA,板塔结合,2,5个月,0,0,1,1,VR看装修,2024-01-31,NA
满二边户三阳台带装修三房 价格可谈,国创光谷上城,光谷东,208,19548,3,2,106.41,南,北,简装,高,33,NA,板楼,5,2个月,1,1,0,1,VR看装修,2024-01-31,NA
融侨城 精装通透大三房 业主诚心卖 随时可看,融侨城,杨园,258,20725,3,2,124.49,东南,,精装,低,33,NA,板塔结合,5,2个月,1,1,0,1,VR看装修,2024-01-31,NA
正地铁口+南北通透+纯边户+小高层楼栋+看房方便,保利心语三期,珞狮南路,140,16268,3,2,86.06,南,北,精装,高,18,NA,板塔结合,2,2个月,1,1,0,1,VR看装修,2024-01-31,NA
永旺旁，精装修，拎包入住，地铁口，满五唯一,广电兰亭时代一期,四新,116,15220,3,2,76.22,北,,精装,高,32,NA,板塔结合,0,3个月,0,0,1,0,NA,2024-01-31,NA
中北汉街畔 复地东湖东湖 高层满五 通透三居视野开阔,复地东湖国际五六期,中北路,530,41265,3,2,128.44,南,,简装,高,32,NA,板塔结合,5,NA,1,0,1,1,VR看装修,2024-01-31,NA
徐东阿里旁 双地铁 精装2室2厅 带50平私人朝南露台,江南花园,杨园,99,11485,2,2,86.2,南,,精装,低,18,NA,板楼,0,2个月,1,0,1,0,NA,2024-01-31,NA
精装好房，小区中间，诚心出售。,后官湖庭,后官湖,79,6833,3,2,115.62,南,,精装,低,18,NA,板楼,0,2个月,0,1,0,0,NA,2024-01-31,NA
老证不临三环 中间楼层 地铁在建12号线,广电兰亭时代一期,四新,100,12699,2,2,78.75,南,,精装,中,33,NA,板塔结合,4,2个月,0,0,1,1,VR看装修,2024-01-31,NA
铁桥新家园 三房 公摊低 二环内 随时看房,铁桥新家园,七里庙,100,7841,3,2,127.54,南,北,简装,低,11,NA,板楼,2,2个月,1,1,0,1,VR看装修,2024-01-31,NA
武昌内环，一楼带60平院子洋房，采光充足，拎包入住,福星惠誉水岸星城B区,沙湖,570,36541,4,2,155.99,南,,精装,低,5,NA,板楼,7,2个月,0,1,0,0,VR看装修,2024-01-31,NA
出门就是双地铁，业主诚心出售，看房方便， 户型方正,龙城.天居园,盘龙城,43,7736,1,1,55.59,南,,简装,高,6,NA,塔楼,9,2个月,1,0,1,1,VR看装修,2024-01-31,NA
满五唯一 精装修，价格可谈 随时看房 诚心出售,保利海上五月花一期,庙山,60,7973,2,1,75.26,东南,,精装,低,24,NA,板楼,2,2个月,0,0,1,1,VR看装修,2024-01-31,NA
东风公司阳光城精致装修大复式楼,东风阳光城一、二期,沌口,205,10003,5,2,204.95,南,,精装,中,5,NA,板楼,11,NA,1,0,1,0,NA,2024-01-31,NA
东湖风景区 省博地铁口 黄鹂小区 中间楼层 通透户型,黄鹂小区,中北路,100,12560,2,2,79.62,西南,,简装,中,7,NA,板楼,2,2个月,1,0,1,1,NA,2024-01-31,NA
店长推荐！幸福时代全南两房 楼层采光好 看房随时,幸福时代,百步亭,130,15607,2,2,83.3,南,,简装,高,32,NA,板楼,2,2个月,1,1,0,1,VR看装修,2024-01-31,NA
阳光城北区优质三房，价格优，好楼层看房方便。,金地阳光城北区,民族大道,145,13572,3,2,106.84,南,北,精装,中,7,NA,板楼,5,2个月,0,1,0,0,NA,2024-01-31,NA
户型方正两房，证满，中间楼层，采光好,江南花山郡,纸坊,73,8725,2,2,83.67,南,,简装,低,25,NA,板塔结合,1,2个月,0,1,0,1,VR看装修,2024-01-31,NA
证满二，采光好，楼层好，诚意出售,绿地香树花城派克公馆,青山,100,12060,2,2,82.92,南,,精装,中,34,NA,板楼,7,2个月,1,1,0,1,VR看装修,2024-01-31,NA
