property_title,property_name,property_region,price_ttl,price_sqm,houseinfo,followinfo,near_subway,two_year,taxfree,haskey,vr,create_date
汉口湖畔不临马路，东南朝向，中间楼层,汉口湖畔,盘龙城,65,"7,514元/平",2室2厅 | 86.51平米 | 南 | 毛坯 | 中楼层(共25层) | 板楼,4人关注 / 一年前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
地铁口 满二四房 南北通透边户 保养好,碧桂园生态城左岸,光谷东,122,"11,176元/平",4室2厅 | 109.17平米 | 南 北 | 简装 | 低楼层(共32层) | 板楼,3人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
临地铁 证满两年 毛坯四房两卫 配套丰富 交通便利,平江壹号,阳逻,55,"3,697元/平",4室2厅 | 148.77平米 | 南 | 毛坯 | 中楼层(共23层) | 板楼,9人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
花园洋房离东门近，采光好 公摊仅9% 自住装修拎包入住,福星惠誉水岸星城B区,沙湖,380,"28,671元/平",3室2厅 | 132.54平米 | 南 北 | 精装 | 中楼层(共6层) | 板楼,26人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
老证，户型方正楼层好，地段生活便捷，诚意出售。,美联奥林匹克花园六期,常青花园,148,"15,003元/平",3室2厅 | 98.65平米 | 南 东 | 简装 | 中楼层(共26层) | 板楼,3人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
店长推荐 好的户型 平层 二排 南北通透 满五唯一,新绿美地,杨园,176,"13,205元/平",3室2厅 | 133.29平米 | 南 北 | 精装 | 高楼层(共12层) | 板楼,5人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
民主路 地铁口 舒适2房 采光通透 集中供暖,中南电力设计院第二生活区北苑,中南丁字桥,95,"12,233元/平",2室1厅 | 77.66平米 | 东南 南 | 简装 | 低楼层(共8层) | 板楼,7人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
毛坯 毛坯 毛坯 居家婚房看过来 点亮你的设计细胞！！,安顺家园,楚河汉街,320,"24,162元/平",3室2厅 | 132.44平米 | 南 北 | 简装 | 中楼层(共28层) | 塔楼,3人关注 / 3个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
新嘉园电梯房 中间楼层视野开阔,新嘉园,华科大,117,"10,986元/平",3室1厅 | 106.5平米 | 南 | 简装 | 中楼层(共12层) | 板楼,3人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
恒大老证自住精装大三房，高楼层视野好物业好,恒大翡翠华庭,四新,175,"14,622元/平",3室2厅 | 119.69平米 | 南 北 | 精装 | 中楼层(共32层) | 板塔结合,7人关注 / 3个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
满二 东原二期地铁口 好楼层 不临街 房东诚心卖,东原启城二期,白沙洲,165,"16,776元/平",3室2厅 | 98.36平米 | 南 | 精装 | 高楼层(共30层) | 板楼,52人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
文化路地铁口世纪广场齐心今城一期,齐心今城,纸坊,99.99,"7,714元/平",3室1厅 | 129.63平米 | 南 北 | 精装 | 中楼层(共11层) | 板楼,2人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
正12号线地铁口 边户 精装修 老证税费便宜 全新未住过,华发未来荟,四新,169,"16,001元/平",3室2厅 | 105.62平米 | 南 北 | 精装 | 中楼层(共46层) | 板塔结合,4人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
双地铁口 白沙天街旁 临三甲医院 金域天下精装三房,佳兆业金域天下一期,白沙洲,128,"14,291元/平",3室2厅 | 89.57平米 | 南 北 | 精装 | 低楼层(共34层) | 塔楼,1人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
保利上城 地铁口 新装修设计好 边户小三房 满二中层,保利上城东区,白沙洲,125,"14,764元/平",3室2厅 | 84.67平米 | 南 北 | 精装 | 中楼层(共40层) | 板塔结合,8人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
满二四房 南北通透边户 居家装修,碧桂园生态城左岸,光谷东,130,"11,895元/平",4室2厅 | 109.29平米 | 南 北 | 精装 | 中楼层(共32层) | 板楼,8人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
老证 边户带花园 车库 车位 一线湖景,盘龙水岸沁园,盘龙城,202,"9,581元/平",5室2厅 | 210.85平米 | 东南 | 毛坯 | 低楼层(共5层) | 板楼,2人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
森林公园旁新恒大精装修大三房，业主急售,新世界恒大华府,华科大,256,"20,122元/平",3室2厅 | 127.23平米 | 西南 | 精装 | 中楼层(共28层) | 板塔结合,6人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
小区中间楼栋，业主置换上海急售，全新未入住奥山府,光谷澎湃城奥山府,光谷南,200,"14,243元/平",3室1厅 | 140.42平米 | 南 | 精装 | 高楼层(共33层) | 板楼,6人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
满两年，精装修 户型方正 采光视野好 交通便利,琨瑜府一期,关山大道,298,"25,289元/平",3室2厅 | 117.84平米 | 南 北 | 精装 | 高楼层(共55层) | 板塔结合,2人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
华科大2号线旁 全新装修四房 拎包入住业主诚心卖,学府佳园,华科大,230,"16,904元/平",4室2厅 | 136.07平米 | 南 | 精装 | 中楼层(共7层) | 板楼,8人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
万博玖珑湾 3室2厅 南,万博玖珑湾,盘龙城,85,"6,310元/平",3室2厅 | 134.71平米 | 南 | 毛坯 | 中楼层(共11层) | 板楼,2人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
无贷款，中间楼层，小区中间位置，诚心出售,水晶郦都,金融港,121,"12,542元/平",3室2厅 | 96.48平米 | 南 | 精装 | 中楼层(共22层) | 板楼,4人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
《贝壳优选》万科城 精装三房 老证 采光好 老证诚心卖,万科城,常青路,182,"21,849元/平",3室2厅 | 83.3平米 | 南 北 | 精装 | 中楼层(共30层) | 板楼,6人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
精装万科通透三房，业主诚意出售本房，看房方便,万科汉阳国际C区,王家湾,165,"13,966元/平",3室2厅 | 118.15平米 | 南 | 精装 | 中楼层(共34层) | 板楼,3人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
D铁口三房，证满无贷，业主诚心出售,珩生领袖城,盘龙城,63,"6,161元/平",3室1厅 | 102.26平米 | 南 | 简装 | 高楼层(共15层) | 板楼,5人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
开发商精装带地暖 老证税少 高区景观 全明大两房急售,阳光城十里新城,王家湾,143,"15,777元/平",2室2厅 | 90.64平米 | 南 | 精装 | 高楼层(共32层) | 板塔结合,8人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
店长推荐 金桥汇二期双地铁 精装修中间楼层 采光好,百步亭金桥汇2期,塔子湖,108,"14,957元/平",2室1厅 | 72.21平米 | 南 | 精装 | 高楼层(共33层) | 板塔结合,17人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
店长推荐 三阳台 自住装修三房 老证 一手房东 急售,中城时代二期,盘龙城,75,"8,895元/平",3室2厅 | 84.32平米 | 南 | 精装 | 中楼层(共6层) | 板楼,1人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
5号地铁 清江锦城 自住装修 三居室拎包入住 视野好,清能清江锦城一期,白沙洲,129,"14,411元/平",3室2厅 | 89.52平米 | 东南 | 精装 | 高楼层(共34层) | 塔楼,1人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
嘉禾园经典三房户型 视野阳光好 诚心出售,嘉禾园,吴家山,95,"7,229元/平",3室2厅 | 131.43平米 | 南 北 | 简装 | 低楼层(共6层) | 板塔结合,0人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
房东诚心出售，单价便宜的电梯房。,拜赞庭,中南丁字桥,78,"15,277元/平",1室1厅 | 51.06平米 | 东北 | 精装 | 低楼层(共12层) | 塔楼,5人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
地铁口，62栋一线湖景视野宽阔，楼层好，业主移民急售,福星惠誉东澜岸,白沙洲,84,"10,254元/平",2室1厅 | 81.92平米 | 南 | 精装 | 30层 | 塔楼,2人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
兰亭都荟后 江腾苑D区 婚房装修三居室 非顶楼采光好,江腾苑D区,钟家村,136,"11,742元/平",3室2厅 | 115.83平米 | 南 北 | 精装 | 高楼层(共27层) | 板楼,9人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
新出 梅苑小区地铁口 两房 满五年 中间楼层 急售,梅苑小区一期,武昌火车站,113,"15,467元/平",2室1厅 | 73.06平米 | 西北 | 精装 | 中楼层(共8层) | 塔楼,7人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
蓝光中间楼栋楼层，精装三房户型，产证满2年无贷款,蓝光COCO时代,华科大,128,"14,991元/平",3室2厅 | 85.39平米 | 南 北 | 精装 | 低楼层(共30层) | 板楼,4人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
两梯三户高楼层采光好满五年税费少,加州香山美树,民族大道,110,"12,778元/平",2室2厅 | 86.09平米 | 南 | 简装 | 中楼层(共17层) | 板楼,2人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
楼层好出门即享受空中花园 老证无贷 随时签约,新世界常青二分之一中心,常青花园,198,"19,620元/平",3室2厅 | 100.92平米 | 南 北 | 简装 | 低楼层(共28层) | 板塔结合,2人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
老证，精装三房，采光通风好，保养好，配套齐,枫桦苇岸,沌口,92,"7,978元/平",3室1厅 | 115.32平米 | 南 北 | 精装 | 低楼层(共33层) | 板楼,1人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
古田桥旁 汉江边，人车分流新小区，首付不到20万！,佳兆业滨江壹号,王家湾,86,"9,428元/平",3室2厅 | 91.22平米 | 南 | 毛坯 | 中楼层(共47层) | 板楼,11人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
店长推荐 11号线旁光明上海FD 精装2室南北通透 高区,光明上海府邸,四新,116,"12,347元/平",2室2厅 | 93.95平米 | 南 北 | 精装 | 高楼层(共33层) | 板塔结合,3人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
【价格真低】汉正街2室1厅，朝东 阳光房 精装入住,多福大厦,汉正街,77.5,"12,422元/平",2室1厅 | 62.39平米 | 东 | 精装 | 高楼层(共27层) | 塔楼,4人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
全新装修 湖景大平层 7号线地铁口，好楼层 老证无贷,盘龙水岸沁园,盘龙城,132,"8,727元/平",4室1厅 | 151.27平米 | 南 | 精装 | 中楼层(共5层) | 板楼,7人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
一天没住 精装三房 满两年 户型方正,中建大公馆二期,民族大道,220,"22,846元/平",3室2厅 | 96.3平米 | 南 | 精装 | 高楼层(共48层) | 板塔结合,6人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
店长推荐 急卖好房 汉口花园六期 电梯小高层 钻石楼层,汉口花园幽兰居,塔子湖,130,"14,310元/平",2室2厅 | 90.85平米 | 南 北 | 精装 | 高楼层(共11层) | 板楼,14人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
金银湖一号证满无贷款，2018年花了38万精装的全屋定制,金银湖1号院,金银湖,155,"11,099元/平",3室1厅 | 139.66平米 | 南 | 精装 | 中楼层(共34层) | 板楼,15人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
武昌滨江融侨二期满二南北向次新小区，居住环境舒适,融侨城,杨园,260,"21,880元/平",3室2厅 | 118.83平米 | 南 | 精装 | 低楼层(共48层) | 板塔结合,2人关注 / 2个月以前发布,近地铁,房本满两年,NA,NA,NA,2024-01-31
汉阳大道沿线 内环品质洋房 好停车 低成本,琴台颖园,钟家村,140,"11,688元/平",3室2厅 | 119.79平米 | 南 北 | 简装 | 中楼层(共7层) | 板楼,5人关注 / 2个月以前发布,近地铁,NA,房本满五年,NA,NA,2024-01-31
贝壳聚焦+优质好房，11小区三房，价格便宜，满五,常青花园十一小区,常青花园,205,"16,195元/平",3室2厅 | 126.59平米 | 南 北 | 精装 | 低楼层(共30层) | 板楼,3人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
铁路局电梯房 正规三房 采光好 格局方正 有暖气,武铁洪山住宅小区,中南丁字桥,198,"14,584元/平",3室2厅 | 135.77平米 | 南 北 | 简装 | 低楼层(共16层) | 塔楼,2人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
领秀城 大户型中间楼层中间楼栋 精装修 诚心卖,领秀城,卓刀泉,350,"22,393元/平",4室2厅 | 156.3平米 | 南 北 | 精装 | 中楼层(共32层) | 板楼,4人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
《店长甄选》九里三开间朝南户型，精装修，满五唯一,保利公园九里,老南湖,152,"16,768元/平",3室2厅 | 90.65平米 | 南 北 | 精装 | 中楼层(共34层) | 板楼,13人关注 / 2个月以前发布,近地铁,NA,房本满五年,NA,VR看装修,2024-01-31
复地三期，通透大五房，高层看东湖和沙湖，百万装修,复地东湖国际三期,中北路,699,"49,975元/平",5室2厅 | 139.87平米 | 南 北 | 精装 | 中楼层(共45层) | 板塔结合,5人关注 / 2个月以前发布,近地铁,NA,房本满五年,NA,NA,2024-01-31
武汉关，朝南精装两房，阳光好，老证税费少，诚意出售,世纪江尚,前进江汉,228,"25,127元/平",2室1厅 | 90.74平米 | 南 | 精装 | 57层 | 塔楼,5人关注 / 2个月以前发布,近地铁,房本满两年,NA,NA,NA,2024-01-31
城市之光精装洋房 公摊8% 满五唯一 黄龙山地铁站旁,城市之光,光谷东,148,"14,930元/平",3室2厅 | 99.13平米 | 南 北 | 精装 | 低楼层(共6层) | 板楼,8人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
老证，户型方正，明厨明卫，顶楼复式，带露台,常青花园十号小区,常青花园,179,"10,294元/平",5室2厅 | 173.9平米 | 南 | 简装 | 高楼层(共7层) | 板楼,3人关注 / 3个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
金融港北地铁口大两房带衣帽间 三开间朝南 满五 诚售,当代国际花园铂公馆,金融港,170,"17,546元/平",2室2厅 | 96.89平米 | 南 | 精装 | 低楼层(共32层) | 板楼,1人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
地铁口 次新小区 老证精装 通透户型 业主诚心出售,汇悦天地一二期,塔子湖,118,"13,208元/平",3室1厅 | 89.34平米 | 南 北 | 精装 | 低楼层(共34层) | 板楼,6人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
怡康苑南区 3室2厅 南 北,怡康苑南区,百步亭,206,"12,979元/平",3室2厅 | 158.73平米 | 南 北 | 其他 | 低楼层(共11层) | 板楼,2人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
急售满二毛坯三房，万科物业，不临街,广信万汇城,庙山,89,"9,174元/平",3室1厅 | 97.02平米 | 南 | 毛坯 | 低楼层(共26层) | 板塔结合,3人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
好楼层 户型好 户型通透 可随时看房,鲁巷教师小区,光谷广场,120,"11,662元/平",3室2厅 | 102.9平米 | 南 | 其他 | 中楼层(共7层) | 板楼,11人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
产证满两年，交税少。房子中高楼层三个阳台，全屋暖气,百步龙庭,百步亭,230,"16,641元/平",3室2厅 | 138.22平米 | 南 北 | 精装 | 中楼层(共18层) | 板楼,2人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
居家三房 总价低 配套完善,翡翠城,卓刀泉,152,"11,595元/平",3室2厅 | 131.1平米 | 南 | 简装 | 中楼层(共30层) | 塔楼,10人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
金地格林小城美茵一梯两户，大落地窗，采光视野好。,金地格林小城美茵区,新南湖,269,"20,884元/平",3室2厅 | 128.81平米 | 南 北 | 精装 | 中楼层(共11层) | 板楼,9人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
复地三期自住精装房，东边户急卖。拎包入住随时看房,复地东湖国际三期,中北路,670,"47,902元/平",5室2厅 | 139.87平米 | 南 北 | 精装 | 高楼层(共45层) | 板塔结合,15人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
花山郡二期 三房两卫 中高楼层 价格可谈 湖景房,联投花山郡二期,光谷东,115,"9,789元/平",3室2厅 | 117.48平米 | 西南 | 其他 | 高楼层(共34层) | 板楼,4人关注 / 3个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
世纪江尚 精装四居室 通透户型 采光好 公摊小,世纪江尚,前进江汉,435,"23,454元/平",4室1厅 | 185.47平米 | 东 西 | 精装 | 低楼层(共57层) | 塔楼,107人关注 / 一年前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
地铁口！好楼层！！采光好！！！视野佳！！！！,世纪家园,后湖,168,"10,359元/平",5室2厅 | 162.19平米 | 南 | 简装 | 中楼层(共6层) | 板楼,8人关注 / 5个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
双地铁口 毛坯顶楼复式 户型好 视野开阔 诚心出售,歌林花园,盘龙城,100,"7,375元/平",6室2厅 | 135.6平米 | 南 北 | 毛坯 | 高楼层(共18层) | 板楼,11人关注 / 一年前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
边户三阳台大三房 满五唯一,现代森林小镇,金融港,266,"19,163元/平",3室2厅 | 138.81平米 | 南 北 | 毛坯 | 中楼层(共11层) | 板楼,4人关注 / 3个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
华科大 复式楼 清水毛坯 带前后院子 采光好 随时看房,新世界恒大华府,华科大,249,"18,654元/平",6室2厅 | 133.49平米 | 南 北 | 毛坯 | 低楼层(共8层) | 板楼,25人关注 / 4个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
独栋别墅，花园216平上证的，满二，精装，露台能看湖,汤逊湖山庄,庙山,345,"12,478元/平",5室3厅 | 276.5平米 | 南 北 | 精装 | 低楼层(共3层) | 暂无数据,40人关注 / 一年前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
诚心出售，视野开阔，无遮挡看湖，双地铁，老证,王家湾中央生活区,王家湾,135,"14,462元/平",3室2厅 | 93.35平米 | 南 | 毛坯 | 高楼层(共30层) | 板楼,1人关注 / 3个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
双阳台 户型通透 毛坯随意好 随时看房,汉口湖畔,盘龙城,90,"7,877元/平",3室2厅 | 114.27平米 | 西北 | 毛坯 | 中楼层(共15层) | 板楼,2人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
店长推荐A级房源，老证，拎包入住，双阳台，朝南两房,福星城南区,长港路,117,"13,401元/平",2室2厅 | 87.31平米 | 南 | 精装 | 45层 | 板塔结合,4人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
满二 湖景房 视野无遮挡 边户采光好 价格可谈 随时看,保利海上五月花一期,庙山,77,"9,246元/平",3室2厅 | 83.28平米 | 南 北 | 毛坯 | 中楼层(共18层) | 板塔结合,3人关注 / 3个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
【优选】一线湖景 急售 【店长推荐】精装 两卫,加州橘郡,庙山,102,"9,277元/平",3室2厅 | 109.95平米 | 南 北 | 精装 | 中楼层(共30层) | 板楼,0人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
东方雨林，次新小区，业主置换诚心出售。,东方雨林,庙山,80,"8,819元/平",3室2厅 | 90.72平米 | 南 | 精装 | 中楼层(共32层) | 板楼,4人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
2号线地铁口 中间楼层 中间位置 满两年 户口不在,平安光谷春天,金融港,132,"15,570元/平",3室2厅 | 84.78平米 | 南 | 精装 | 中楼层(共33层) | 板楼,1人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
南国二期毛坯 非顶楼高层 南北户型三房 采光好 视野佳,南国明珠二期,王家湾,165,"15,739元/平",3室2厅 | 104.84平米 | 南 北 | 毛坯 | 高楼层(共11层) | 板楼,5人关注 / 3个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
二环内，好楼层，有电梯，满五，CBD 地铁三号线在..,航天花园,CBD西北湖,230,"16,151元/平",3室2厅 | 142.41平米 | 南 | 精装 | 中楼层(共7层) | 板楼,6人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
近地铁口 青宜居中装两房 诚意出售,青宜居二期,青山,59,"8,948元/平",2室1厅 | 65.94平米 | 南 | 精装 | 低楼层(共18层) | 塔楼,3人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
钟家村正商圈，通透户型，诚心出售,远洋东方镜世界观2号地,钟家村,225,"18,746元/平",3室2厅 | 120.03平米 | 南 | 精装 | 中楼层(共56层) | 板楼,1人关注 / 3个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
绿城兰园三房两卫，东边户视野好，满两年，随时可看,长投绿城兰园,藏龙岛,109,"9,814元/平",3室2厅 | 111.07平米 | 南 | 毛坯 | 高楼层(共25层) | 板楼,2人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
老证税费少，精装修拎包入住，楼层好视野开阔,裕亚银湖城二期,金银湖,138,"13,322元/平",3室2厅 | 103.59平米 | 南 | 精装 | 高楼层(共29层) | 板塔结合,6人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
保利时代南向三房 满2年 高楼层 采光好 业主急售,保利时代北区,民族大道,207,"22,187元/平",3室2厅 | 93.3平米 | 南 | 简装 | 高楼层(共34层) | 板塔结合,5人关注 / 3个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
